Customer_ID,Asset_Objective_ID,Total
1,1," $ 115,790.19 "
2,1," $ 1,991,070.43 "
3,1," $ 1,569,349.60 "
4,1," $ 2,162,567.72 "
5,1," $ 1,366,449.55 "
6,1," $ 2,185,829.94 "
7,1," $ 1,261,115.48 "
8,1," $ 1,259,463.63 "
9,1," $ 548,881.63 "
10,1," $ 2,664,332.42 "
11,1," $ 2,591,176.72 "
12,1," $ 833,758.85 "
13,1," $ 1,535,252.58 "
14,1," $ 1,084,748.87 "
15,1," $ 764,270.71 "
16,1," $ 653,515.30 "
17,1," $ 45,985.68 "
18,1," $ 854,837.15 "
19,1," $ 64,424.88 "
20,1," $ 1,386,127.64 "
21,1," $ 1,978,041.56 "
22,1," $ 382,795.55 "
23,1," $ 992,260.15 "
24,1," $ 124,370.27 "
25,1," $ 53,579.34 "
26,1," $ 949,653.22 "
27,1," $ 779,956.82 "
28,1," $ 661,097.01 "
29,1," $ 578,683.12 "
30,1," $ 1,301,489.28 "
31,1," $ 1,867,233.89 "
32,1," $ 137,100.60 "
33,1," $ 842,119.70 "
34,1," $ 219,713.94 "
35,1," $ 1,783.89 "
36,1," $ 1,050,273.71 "
37,1," $ 2,384,246.12 "
38,1," $ 1,146,465.84 "
39,1," $ 2,342,084.16 "
40,1," $ 2,509,365.46 "
41,1," $ 2,415,075.31 "
42,1," $ 680,006.62 "
43,1," $ 3,152,617.98 "
44,1," $ 258,760.32 "
45,1," $ 692,125.51 "
46,1," $ 126,343.26 "
47,1," $ 47,708.54 "
48,1," $ 713,512.38 "
49,1," $ 980,170.40 "
50,1," $ 248,613.46 "
51,1," $ 392,558.82 "
52,1," $ 831,943.42 "
53,1," $ 1,854,639.63 "
54,1," $ 57,718.23 "
55,1," $ 484,889.60 "
56,1," $ 803,947.46 "
57,1," $ 303,243.78 "
58,1," $ 866,499.57 "
59,1," $ 1,042,276.68 "
60,1," $ 1,031,799.50 "
61,1," $ 565,782.26 "
62,1," $ 2,023,207.43 "
63,1," $ 747,452.78 "
64,1," $ 1,255,135.56 "
65,1," $ 1,929,232.53 "
66,1," $ 446,377.93 "
67,1," $ 271,137.44 "
68,1," $ 2,469,722.36 "
69,1," $ 1,220,573.76 "
70,1," $ 129,519.52 "
71,1," $ 3,462,727.51 "
72,1," $ 2,186,569.01 "
73,1," $ 1,368,002.56 "
74,1," $ 3,187,550.62 "
75,1," $ 844,757.22 "
76,1," $ 101,663.92 "
77,1," $ 2,272,006.15 "
78,1," $ 1,946,204.21 "
79,1," $ 2,255,322.33 "
80,1," $ 1,329,750.49 "
81,1," $ 2,156,686.65 "
82,1," $ 1,080,057.14 "
83,1," $ 2,365,367.47 "
84,1," $ 2,392,094.33 "
85,1," $ 2,570,214.19 "
86,1," $ 2,247,820.47 "
87,1," $ 2,468,473.61 "
88,1," $ 794,270.05 "
89,1," $ 576,143.88 "
90,1," $ 169,863.10 "
91,1," $ 1,245,528.21 "
92,1," $ 1,032,120.46 "
93,1," $ 61,528.33 "
94,1," $ 119,256.28 "
95,1," $ 1,251,056.10 "
96,1," $ 233,587.33 "
97,1," $ 434,819.42 "
98,1," $ 1,204,638.24 "
99,1," $ 558,981.49 "
100,1," $ 1,590,954.35 "
101,1," $ 1,831,096.99 "
102,1," $ 158,738.86 "
103,1," $ 1,553,028.17 "
104,1," $ 646,394.30 "
105,1," $ 424,579.48 "
106,1," $ 1,315,426.32 "
